Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Bradeletal.(2014)\cite{bradel_multi-model_2014},0,0,1,0,0,1,0,0,3,0,0,0,0,2,0
Pezzottietal.(2015)\cite{pezzotti_approximated_2015},0,0,1,0,0,0,0,0,3,0,2,0,2,0,0
Brownetal.(2012)\cite{brown_dis-function:_2012},0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Endertetal.(2012)\cite{endert_semantic_2012},0,0,1,0,0,0,0,0,3,0,2,0,0,0,0
Cooketal.(2015)\cite{cook_mixed-initiative_2015},0,0,1,0,0,0,0,0,3,0,0,2,0,0,0
Kunkeletal.(2017)\cite{kunkel_3d_2017},0,0,1,0,0,0,0,0,3,0,0,0,2,0,0
Kimetal.(2016)\cite{kim_interaxis:_2016},0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
Fuchsetal.(2009)\cite{fuchs_visual_2009},0,0,1,0,0,0,0,0,3,3,0,0,2,0,0
Brownetal.(2014)\cite{brown_finding_2014},0,0,1,0,0,1,0,0,0,3,2,0,2,0,0
CavalloandDemiralp(2018)\cite{cavallo_track_2018},0,0,1,0,0,0,0,0,0,3,0,0,0,2,0
Ribicicetal.(2013)\cite{ribicic_visual_2013},0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
Hossainetal.(2012)\cite{hossain_scatter/gather_2012},0,0,1,0,0,0,0,0,0,3,2,0,0,0,0
Sherkatetal.(2018)\cite{sherkat_interactive_2018},0,0,1,0,0,0,0,0,0,0,2,0,0,0,2
Gaoetal.(2015)\cite{gao_datatone:_2015},0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Hottelieretal.(2014)\cite{hottelier_programming_2014},0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Callahanetal.(2006)\cite{callahan2006vistrails},0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
R{\"u}belandBowen(2018)\cite{rubel_bastet:_2018},0,0,0,1,0,0,3,0,0,0,2,0,0,0,0
Kandeletal.(2011)\cite{kandel_wrangler:_2011},0,0,0,1,0,0,3,0,0,0,0,0,0,2,0
Chungetal.(2010)\cite{chung_vizcept:_2010},0,0,0,1,1,0,0,3,0,0,0,0,0,0,2
Gotzetal.(2017)\cite{gotz_adaptive_2017},0,0,0,1,0,1,0,0,3,0,0,2,0,0,0
Xuetal.(2018)\cite{xu_chart_2018},0,0,0,1,1,0,0,0,0,3,2,0,2,0,0
Looraketal.(2018)\cite{loorak_changecatcher:_2018},0,0,0,1,0,1,0,0,0,3,2,0,0,0,0
Smithetal.(2018)\cite{smith_predicting_2018},0,0,0,1,0,1,0,0,0,3,0,0,2,0,0
Stitzetal.(2019)\cite{stitz_knowledgepearls:_2019},0,0,0,1,0,0,0,0,0,3,0,2,0,0,0
Andrienkoetal.(2011)\cite{andrienko_identifying_2011},0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
CappersandvanWijk(2018)\cite{cappers_exploring_2018},0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Zgraggenetal.(2015)\cite{zgraggen_s|queries:_2015},0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Raganetal.(2015)\cite{ragan_evaluating_2015},0,0,0,0,1,1,3,0,0,0,0,0,0,2,2
Walkeretal.(2013)\cite{walker_extensible_2013},0,0,0,0,1,0,3,0,0,0,0,0,0,2,0
Porteousetal.(2010)\cite{porteous_applying_2010},0,0,0,0,1,1,0,3,0,0,0,0,0,2,0
Mathisenetal.(2019)\cite{mathisen_insideinsights:_2019},0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Gratzletal.(2016)\cite{gratzl_visual_2016},0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Choeetal.(2015)\cite{choe_characterizing_2015},0,0,0,0,1,1,0,0,0,3,2,0,0,0,2
Willettetal.(2013)\cite{willett_identifying_2013},0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Borsetal.(2019)\cite{bors_provenance_2019},0,0,0,0,0,1,0,3,0,0,0,0,0,0,2
Walletal.(2018)\cite{wall_podium:_2018},0,0,0,0,0,1,0,0,3,0,2,0,0,0,0
Liuetal.(2017)\cite{liu_coreflow:_2017},0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Choetal.(2017)\cite{cho_anchoring_2017},0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
