col_name,img_src,ref
Classification Models,classification_c.png,classification
Pattern Analysis,pattern_c.png,pattern
Probabilistic Models/Prediction,prediciton_c.png,probabilistic_prediction
Program Synthesis,programsynthesis_c.png,programsynthesis
Interactive Visual Analysis,interactivevisualanalysis_c.png,interactivevisualanalysis
