Paper#Ref,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Kim et al. (2016)#VST4SLQH,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
Fuchs et al. (2009)#IBX4QNCT,0,0,1,0,0,0,0,0,3,3,0,0,2,0,0
Brown et al. (2014)#XCR27ASF,0,0,1,0,0,1,0,0,0,3,2,0,2,0,0
Cavallo and Demiralp (2018)#D2LSEWVB,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0
Ribicic et al. (2013)#HG2IUVX7,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
Hossain et al. (2012)#2KWCN9LW,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0
Sherkat et al. (2018)#48IKB24F,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2
Gao et al. (2015)#3BM8YZA5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Hottelier et al. (2014)#T6W8KYQH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Callahan et al. (2006)#YMXE2ERI,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0
Rübel and Bowen (2018)#ZWURRSGQ,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0
Kandel et al. (2011)#93PMHRB4,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0
Chung et al. (2010)#9MS8EZDR,0,0,0,1,1,0,0,3,0,0,0,0,0,0,2
Gotz et al. (2017)#QWR9N3YA,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0
Xu et al. (2018)#EL25LM58,0,0,0,1,1,0,0,0,0,3,2,0,2,0,0
Loorak et al. (2018)#EDE2JQIA,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0
Smith et al. (2018)#XQRRRL2Y,0,0,0,1,0,1,0,0,0,3,0,0,2,0,0
Stitz et al. (2019)#PW3BIEXI,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0
Andrienko et al. (2011)#KCBNWBND,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Cappers and van Wijk (2018)#GQUBH7PC,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Zgraggen et al. (2015)#LXFR6HIF,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Ragan et al. (2015)#44RDA3W7,0,0,0,0,1,1,3,0,0,0,0,0,0,2,2
Walker et al. (2013)#7J3C2AK6,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0
Porteous et al. (2010)#3XZBKY9C,0,0,0,0,1,1,0,3,0,0,0,0,0,2,0
Mathisen et al. (2019)#TIFVFITN,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Gratzl et al. (2016)#YMWU3VES,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2
Choe et al. (2015)#RD9RMI8J,0,0,0,0,1,1,0,0,0,3,2,0,0,0,2
Willett et al. (2013)#MH9PS9PA,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Bors et al. (2019)#W9NVM37Z,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2
Wall et al. (2018)#4WTJ9LXH,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0
Liu et al. (2017)#BCS5J4JW,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Cho et al. (2017)#XQEXTQW6,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Blascheck (2018)#ZSPP2VUD,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Dou et al. (2009)#EHPSNKBD,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Boukhelifa (2019)#6Q6E2Q39,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Guo et al. (2015)#D7YXW7QW,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Feng et al. (2019)#VVI899IG,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
Battle and Heer (2019)#N6NU7D2L,0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Nguyen et al. (2018)#RZDXH9PW,0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Wei et al. (2012)#YL9XZFNS,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
Blascheck et al. (2016)#XWY72EPW,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Toker et al. (2017)#WVRN8R2T,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Yu and Silva (2020)#C54948XU,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Mannino and Abouzied (2019)#MENJWCDP,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Kodagoda et al. (2013)#L4RLQJB5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Madanagopal et al. (2019)#T8C23C3F,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Kondo and Collins (2014)#SFGPVJXT,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
